"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2020-03-15,223,NA,NA
"2",NA,"ACTUAL","actual",2020-03-22,1133,NA,NA
"3",NA,"ACTUAL","actual",2020-03-29,3197,NA,NA
"4",NA,"ACTUAL","actual",2020-04-05,4165,NA,NA
"5",NA,"ACTUAL","actual",2020-04-12,2379,NA,NA
"6",NA,"ACTUAL","actual",2020-04-19,2000,NA,NA
"7",NA,"ACTUAL","actual",2020-04-26,1221,NA,NA
"8",NA,"ACTUAL","actual",2020-05-03,521,NA,NA
"9",NA,"ACTUAL","actual",2020-05-10,208,NA,NA
"10",NA,"ACTUAL","actual",2020-05-17,116,NA,NA
"11",NA,"ACTUAL","actual",2020-05-24,92,NA,NA
"12",NA,"ACTUAL","actual",2020-05-31,395,NA,NA
"13",NA,"ACTUAL","actual",2020-06-07,800,NA,NA
"14",NA,"ACTUAL","actual",2020-06-14,1069,NA,NA
"15",NA,"ACTUAL","actual",2020-06-21,1570,NA,NA
"16",NA,"ACTUAL","actual",2020-06-28,2734,NA,NA
"17",NA,"ACTUAL","actual",2020-07-05,5641,NA,NA
"18",NA,"ACTUAL","actual",2020-07-12,8063,NA,NA
"19",NA,"ACTUAL","actual",2020-07-19,9004,NA,NA
"20",NA,"ACTUAL","actual",2020-07-26,9402,NA,NA
"21",NA,"ACTUAL","actual",2020-08-02,7987,NA,NA
"22",NA,"ACTUAL","actual",2020-08-09,7717,NA,NA
"23",NA,"ACTUAL","actual",2020-08-16,7481,NA,NA
"24",NA,"ACTUAL","actual",2020-08-23,7127,NA,NA
"25",NA,"ACTUAL","actual",2020-08-30,8672,NA,NA
"26",NA,"ACTUAL","actual",2020-09-06,11965,NA,NA
"27",NA,"ACTUAL","actual",2020-09-13,17690,NA,NA
"28",NA,"ACTUAL","actual",2020-09-20,19342,NA,NA
"29",NA,"ACTUAL","actual",2020-09-27,28448,NA,NA
"30",NA,"ACTUAL","actual",2020-10-04,22156,NA,NA
"31",NA,"ACTUAL","actual",2020-10-11,12564,NA,NA
"32",NA,"ACTUAL","actual",2020-10-18,6092,NA,NA
"33",NA,"ACTUAL","actual",2020-10-25,3268,NA,NA
"34",NA,"ACTUAL","actual",2020-11-01,2585,NA,NA
"35",NA,"ACTUAL","actual",2020-11-08,2484,NA,NA
"36",NA,"ACTUAL","actual",2020-11-15,2584,NA,NA
"37",NA,"ACTUAL","actual",2020-11-22,2911,NA,NA
"38",NA,"ACTUAL","actual",2020-11-29,3559,NA,NA
"39",NA,"ACTUAL","actual",2020-12-06,5159,NA,NA
"40",NA,"ACTUAL","actual",2020-12-13,6110,NA,NA
"41",NA,"ACTUAL","actual",2020-12-20,9089,NA,NA
"42",NA,"ACTUAL","actual",2020-12-27,12079,NA,NA
"43",NA,"ACTUAL","actual",2021-01-03,16731,NA,NA
"44",NA,"ACTUAL","actual",2021-01-10,21738,NA,NA
"45",NA,"ACTUAL","actual",2021-01-17,21059,NA,NA
"46",NA,"ACTUAL","actual",2021-01-24,18035,NA,NA
"47",NA,"ACTUAL","actual",2021-01-31,16599,NA,NA
"48",NA,"ACTUAL","actual",2021-02-07,16479,NA,NA
"49",NA,"ACTUAL","actual",2021-02-14,12487,NA,NA
"50",NA,"ACTUAL","actual",2021-02-21,9884,NA,NA
"51",NA,"ACTUAL","actual",2021-02-28,10508,NA,NA
"52",NA,"ACTUAL","actual",2021-03-07,9889,NA,NA
"53",NA,"ACTUAL","actual",2021-03-14,6131,NA,NA
"54",NA,"ACTUAL","actual",2021-03-21,3063,NA,NA
"55",NA,"ACTUAL","actual",2021-03-28,1372,NA,NA
"56",NA,"ACTUAL","actual",2021-04-04,1026,NA,NA
"57",NA,"ACTUAL","actual",2021-04-11,639,NA,NA
"58",NA,"ACTUAL","actual",2021-04-18,338,NA,NA
"59",NA,"ACTUAL","actual",2021-04-25,242,NA,NA
"60",7,"GLMNET","prediction",2021-04-30,4752.74509371621,1067.49363500432,8437.99655242811
"61",7,"GLMNET","prediction",2021-05-07,5872.07224529483,2186.82078658294,9557.32370400672
"62",7,"GLMNET","prediction",2021-05-14,4000.07740041449,314.825941702602,7685.32885912639
"63",7,"GLMNET","prediction",2021-05-21,4331.66408359647,646.412624884577,8016.91554230836
"64",7,"GLMNET","prediction",2021-05-28,4611.24565226971,925.994193557821,8296.49711098161
"65",7,"GLMNET","prediction",2021-06-04,5697.34986342291,2012.09840471102,9382.6013221348
"66",7,"GLMNET","prediction",2021-06-11,5726.21259884728,2040.96114013539,9411.46405755917
"67",7,"GLMNET","prediction",2021-06-18,5445.83941948643,1760.58796077453,9131.09087819832
"68",7,"GLMNET","prediction",2021-06-25,7732.68692503214,4047.43546632025,11417.938383744
"69",7,"GLMNET","prediction",2021-07-02,10652.7876461768,6967.53618746491,14338.0391048887
"70",7,"GLMNET","prediction",2021-07-09,13091.2604276455,9406.00896893359,16776.5118863574
"71",7,"GLMNET","prediction",2021-07-16,10932.2641747522,7247.01271604028,14617.5156334641
"72",7,"GLMNET","prediction",2021-07-23,12138.1573632151,8452.9059045032,15823.408821927
